model,n_clients,comm_cost,target_dataset,accuracy,precision,recall,f1_score,frequency_true,frequency_pred
fedfor,50,0.0,kdd,1.0,0.0,0.0,0.0,0.0,0.0
fedfor,50,0.0,spambase,1.0,1.0,1.0,1.0,1.0,1.0
fedfor,50,0.0125,adult,0.88,0.8979591836734694,0.9777777777777777,0.9361702127659575,0.9,0.98
fedfor,50,0.0125,huga,1.0,1.0,1.0,1.0,1.0,1.0
fedfor,50,0.0125,kdd,1.0,0.0,0.0,0.0,0.0,0.0
fedfor,50,0.0125,spambase,0.98,0.98,1.0,0.98989898989899,0.98,1.0
fedfor,50,0.025,adult,0.85,1.0,0.11764705882352941,0.21052631578947367,0.17,0.02
fedfor,50,0.025,huga,1.0,1.0,1.0,1.0,1.0,1.0
fedfor,50,0.025,kdd,1.0,0.0,0.0,0.0,0.0,0.0
fedfor,50,0.025,spambase,0.97,0.97,1.0,0.9847715736040609,0.97,1.0
fedfor,50,0.05,adult,1.0,0.0,0.0,0.0,0.0,0.0
fedfor,50,0.05,huga,0.99,1.0,0.99,0.9949748743718593,1.0,0.99
fedfor,50,0.05,kdd,1.0,0.0,0.0,0.0,0.0,0.0
fedfor,50,0.05,spambase,0.72,0.7368421052631579,0.6086956521739131,0.6666666666666666,0.46,0.38
fedfor,50,0.1,adult,1.0,0.0,0.0,0.0,0.0,0.0
fedfor,50,0.1,huga,0.86,0.8666666666666667,0.975,0.9176470588235294,0.8,0.9
fedfor,50,0.1,kdd,1.0,0.0,0.0,0.0,0.0,0.0
fedfor,50,0.1,spambase,1.0,0.0,0.0,0.0,0.0,0.0
fedfor,60,0.0,adult,0.99,0.99,1.0,0.9949748743718593,0.99,1.0
fedfor,60,0.0,huga,0.99,0.99,1.0,0.9949748743718593,0.99,1.0
fedfor,60,0.0,kdd,1.0,0.0,0.0,0.0,0.0,0.0
fedfor,60,0.0,spambase,1.0,1.0,1.0,1.0,1.0,1.0
fedfor,60,0.0125,adult,0.82,0.8735632183908046,0.9156626506024096,0.8941176470588236,0.83,0.87
fedfor,60,0.0125,huga,0.99,0.9897959183673469,1.0,0.9948717948717949,0.97,0.98
fedfor,60,0.0125,kdd,1.0,0.0,0.0,0.0,0.0,0.0
fedfor,60,0.0125,spambase,1.0,1.0,1.0,1.0,1.0,1.0
fedfor,60,0.025,adult,0.96,1.0,0.42857142857142855,0.6,0.07,0.03
fedfor,60,0.025,huga,0.98,0.9795918367346939,1.0,0.9896907216494846,0.96,0.98
fedfor,60,0.025,kdd,1.0,0.0,0.0,0.0,0.0,0.0
fedfor,60,0.025,spambase,0.98,0.98,1.0,0.98989898989899,0.98,1.0
fedfor,60,0.05,adult,1.0,0.0,0.0,0.0,0.0,0.0
fedfor,60,0.05,huga,0.94,0.9574468085106383,0.9782608695652174,0.967741935483871,0.92,0.94
fedfor,60,0.05,kdd,1.0,0.0,0.0,0.0,0.0,0.0
fedfor,60,0.05,spambase,0.71,0.6226415094339622,0.7857142857142857,0.6947368421052632,0.42,0.53
fedfor,60,0.1,adult,1.0,0.0,0.0,0.0,0.0,0.0
fedfor,60,0.1,huga,0.73,0.7301587301587301,0.8214285714285714,0.773109243697479,0.56,0.63
fedfor,60,0.1,kdd,1.0,0.0,0.0,0.0,0.0,0.0
fedfor,60,0.1,spambase,1.0,0.0,0.0,0.0,0.0,0.0
fedfor,70,0.0,adult,1.0,1.0,1.0,1.0,1.0,1.0
fedfor,70,0.0,huga,0.98,0.98,1.0,0.98989898989899,0.98,1.0
fedfor,70,0.0,kdd,1.0,0.0,0.0,0.0,0.0,0.0
fedfor,70,0.0,spambase,1.0,1.0,1.0,1.0,1.0,1.0
fedfor,70,0.0125,adult,0.79,0.8041237113402062,0.975,0.8813559322033898,0.8,0.97
fedfor,70,0.0125,huga,0.92,0.9381443298969072,0.978494623655914,0.9578947368421052,0.93,0.97
fedfor,70,0.0125,kdd,1.0,0.0,0.0,0.0,0.0,0.0
fedfor,70,0.0125,spambase,1.0,1.0,1.0,1.0,1.0,1.0
fedfor,70,0.025,adult,0.91,1.0,0.18181818181818182,0.3076923076923077,0.11,0.02
fedfor,70,0.025,huga,0.88,0.8969072164948454,0.9775280898876404,0.9354838709677419,0.89,0.97
fedfor,70,0.025,kdd,1.0,0.0,0.0,0.0,0.0,0.0
